Timestamp,Speed,Sensing
1.011407,6.954117,18.85909
2.017614,6.954117,18.85909
3.025508,6.954117,18.85909
4.029659,6.954117,18.85909
5.034292,6.954117,18.85909
6.035789,6.954117,18.85909
7.036578,6.954117,18.85909
8.038789,6.954117,18.85909
9.042329,6.954117,18.85909
10.04735,6.954117,18.85909
11.05424,6.954117,18.85909
12.05465,6.954117,18.85909
13.06111,6.954117,18.85909
14.0646,6.954117,18.85909
15.07715,6.954117,18.85909
16.0772,6.954117,18.85909
17.07908,6.954117,18.85909
18.08464,6.954117,18.85909
19.09164,6.954117,18.85909
20.09409,6.954117,18.85909
21.10146,6.954117,18.85909
22.1127,6.954117,18.85909
23.11861,6.954117,18.85909
24.11976,6.954117,18.85909
25.12349,6.954117,18.85909
26.1294,7.021109,19.04783
27.13764,7.021109,19.04783
28.13954,7.053775,18.94594
29.14144,7.130821,18.6395
30.14222,7.052329,18.47667
31.15127,7.040393,18.5906
32.1579,6.977706,18.6284
33.16731,6.898107,18.53583
34.17381,6.898107,18.53583
35.18196,6.898107,18.53583
36.19109,6.896151,18.67105
37.19296,6.896151,18.67105
38.19886,6.896151,18.67105
39.20919,6.896151,18.67105
40.21216,6.896151,18.67105
41.22335,6.918791,19.02037
42.24965,6.937139,19.0502
43.25385,6.937139,19.0502
44.25673,6.937139,19.0502
45.26981,6.937139,19.0502
46.28252,6.937139,19.0502
47.28941,6.937139,19.0502
48.29171,6.937139,19.0502
49.30508,6.899821,19.23295
50.30896,6.84772,19.34222
51.32075,6.862883,19.19407
52.32377,6.862883,19.19407
53.33966,6.862883,19.19407
54.3516,6.862883,19.19407
55.36316,6.862883,19.19407
56.36439,6.862883,19.19407
57.36697,6.862883,19.19407
58.37329,6.862883,19.19407
59.38351,6.907004,19.18335
60.38577,6.96631,19.47812
61.39872,6.96631,19.47812
62.40913,6.96631,19.47812
63.41872,6.937827,19.33143
64.42351,6.952653,19.31521
65.43108,6.952653,19.31521
66.43584,6.966681,19.34701
67.43972,6.966681,19.34701
68.44988,6.966681,19.34701
69.46129,6.92244,19.21549
70.47282,7.079782,19.56929
71.4807,7.079782,19.56929
72.4921,7.079782,19.56929
73.49633,7.025149,19.48357
74.52051,7.039953,19.34173
75.53291,6.987122,19.67675
76.54047,7.007599,19.76485
77.54935,7.007599,19.76485
78.55544,7.007599,19.76485
79.56492,6.974301,19.57987
80.57707,6.916072,19.54327
81.58019,6.916072,19.54327
82.59232,6.916072,19.54327
83.60494,6.978323,19.55296
84.61063,6.978323,19.55296
85.61395,7.022511,19.70184
86.61449,7.022511,19.70184
87.62336,7.022511,19.70184
88.63931,7.022511,19.70184
89.6411,7.029444,19.84058
90.64252,7.012894,20.2026
91.64773,7.07879,20.12817
92.65016,7.07879,20.12817
93.66044,7.005842,20.33722
94.66371,7.005842,20.33722
95.67156,7.005842,20.33722
96.68098,7.005842,20.33722
97.69051,6.992053,20.4584
98.69936,6.991648,20.33552
99.70095,6.871211,20.34453
100.7084,6.959337,20.27324
101.7142,6.942275,20.48488
102.7145,6.942275,20.48488
103.7224,6.954542,20.58964
104.7327,6.954542,20.58964
105.7344,6.97062,20.62179
106.7497,6.988535,20.65017
107.7582,6.988535,20.65017
108.7658,6.988535,20.65017
109.7726,6.988535,20.65017
110.7768,7.06561,20.8613
111.7784,7.06561,20.8613
112.7859,7.045178,20.8645
113.7868,7.045178,20.8645
114.7937,7.045178,20.8645
115.7954,7.078664,20.975
116.7959,7.098923,21.14874
117.8027,7.108337,21.23168
118.8088,7.153236,21.40675
119.817,7.269272,21.44469
120.8295,7.269272,21.44469
121.8351,7.269272,21.44469
122.8354,7.269272,21.44469
123.841,7.343112,21.59642
124.8467,7.389001,21.5219
125.8555,7.389001,21.5219
126.86,7.389001,21.5219
127.8604,7.434811,21.53415
128.8692,7.434811,21.53415
129.8724,7.453873,21.84005
130.8812,7.446196,21.94881
131.8861,7.446196,21.94881
132.8902,7.525229,21.98302
133.8992,7.62824,22.12847
134.9072,7.655947,22.38796
135.9201,7.637394,22.49947
136.9318,7.637394,22.49947
137.9432,7.581221,22.60112
138.9551,7.619843,22.80474
139.9627,7.662208,23.09672
140.9693,7.662208,23.09672
141.9816,7.662208,23.09672
142.9852,7.662208,23.09672
143.988,7.662208,23.09672
144.9917,7.654246,23.47821
146.0039,7.646755,23.54428
147.0113,7.646755,23.54428
148.0183,7.646755,23.54428
149.0205,7.662432,23.75322
150.0278,7.667998,24.10608
151.0336,7.667998,24.10608
152.037,7.575488,23.99371
153.0505,7.63291,23.83426
154.06,7.63291,23.83426
155.0668,7.604971,23.88064
156.077,7.626634,23.92252
157.0854,7.626634,23.92252
158.0974,7.626634,23.92252
159.1103,7.669199,23.71681
160.1115,7.65065,23.66403
161.1168,7.65065,23.66403
162.1188,7.65065,23.66403
163.1293,7.65065,23.66403
164.1372,7.65065,23.66403
165.1445,7.65065,23.66403
